lineNo,direction,day,courseId,time,stopName
1,MAZOWIECKA,week,6,12:41,PONIATOWSKIEGO/ZALEW
1,MAZOWIECKA,week,7,13:34,PONIATOWSKIEGO/ZALEW
1,MAZOWIECKA,week,8,14:46,PONIATOWSKIEGO/ZALEW
1,MAZOWIECKA,week,9,16:21,PONIATOWSKIEGO/ZALEW
1,MAZOWIECKA,week,10,18:06,PONIATOWSKIEGO/ZALEW
1,MAZOWIECKA,saturday,11,09:06,PONIATOWSKIEGO/ZALEW
1,MAZOWIECKA,saturday,12,11:19,PONIATOWSKIEGO/ZALEW
1,MAZOWIECKA,week,1,05:07,PLAC JANA PAWŁA II
1,MAZOWIECKA,week,2,06:02,PLAC JANA PAWŁA II
1,MAZOWIECKA,week,3,07:02,PLAC JANA PAWŁA II
1,MAZOWIECKA,week,4,09:07,PLAC JANA PAWŁA II
1,MAZOWIECKA,week,5,11:20,PLAC JANA PAWŁA II
1,MAZOWIECKA,week,6,12:42,PLAC JANA PAWŁA II
1,MAZOWIECKA,week,7,13:35,PLAC JANA PAWŁA II
1,MAZOWIECKA,week,8,14:47,PLAC JANA PAWŁA II
1,MAZOWIECKA,week,9,16:22,PLAC JANA PAWŁA II
1,MAZOWIECKA,week,10,18:07,PLAC JANA PAWŁA II
1,MAZOWIECKA,saturday,11,09:07,PLAC JANA PAWŁA II
1,MAZOWIECKA,saturday,12,11:20,PLAC JANA PAWŁA II
1,MAZOWIECKA,week,1,05:08,BATOREGO
1,MAZOWIECKA,week,2,06:03,BATOREGO
1,MAZOWIECKA,week,3,07:03,BATOREGO
1,MAZOWIECKA,week,4,09:08,BATOREGO
1,MAZOWIECKA,week,5,11:21,BATOREGO
1,MAZOWIECKA,week,6,12:43,BATOREGO
1,MAZOWIECKA,week,7,13:36,BATOREGO
1,MAZOWIECKA,week,8,14:48,BATOREGO
1,MAZOWIECKA,week,9,16:23,BATOREGO
1,MAZOWIECKA,week,10,18:08,BATOREGO
1,MAZOWIECKA,saturday,11,09:08,BATOREGO
1,MAZOWIECKA,saturday,12,11:21,BATOREGO
1,MAZOWIECKA,week,1,05:09,ALEJA NIEPODLEGŁOŚCI
1,MAZOWIECKA,week,2,06:04,ALEJA NIEPODLEGŁOŚCI
1,MAZOWIECKA,week,3,07:04,ALEJA NIEPODLEGŁOŚCI
1,MAZOWIECKA,week,4,09:09,ALEJA NIEPODLEGŁOŚCI
1,MAZOWIECKA,week,5,11:22,ALEJA NIEPODLEGŁOŚCI
1,MAZOWIECKA,week,6,12:44,ALEJA NIEPODLEGŁOŚCI
1,MAZOWIECKA,week,7,13:37,ALEJA NIEPODLEGŁOŚCI
1,MAZOWIECKA,week,8,14:49,ALEJA NIEPODLEGŁOŚCI
1,MAZOWIECKA,week,9,16:24,ALEJA NIEPODLEGŁOŚCI
1,MAZOWIECKA,week,10,18:09,ALEJA NIEPODLEGŁOŚCI
1,MAZOWIECKA,saturday,11,09:09,ALEJA NIEPODLEGŁOŚCI
1,MAZOWIECKA,saturday,12,11:22,ALEJA NIEPODLEGŁOŚCI
1,MAZOWIECKA,week,1,05:11,MSZCZONOWSKA/RAWSKA
1,MAZOWIECKA,week,2,06:06,MSZCZONOWSKA/RAWSKA
1,MAZOWIECKA,week,3,07:06,MSZCZONOWSKA/RAWSKA
1,MAZOWIECKA,week,4,09:11,MSZCZONOWSKA/RAWSKA
1,MAZOWIECKA,week,5,11:24,MSZCZONOWSKA/RAWSKA
1,MAZOWIECKA,week,6,12:46,MSZCZONOWSKA/RAWSKA
1,MAZOWIECKA,week,7,13:39,MSZCZONOWSKA/RAWSKA
1,MAZOWIECKA,week,8,14:51,MSZCZONOWSKA/RAWSKA
1,MAZOWIECKA,week,9,16:26,MSZCZONOWSKA/RAWSKA
1,MAZOWIECKA,week,10,18:11,MSZCZONOWSKA/RAWSKA
1,MAZOWIECKA,saturday,11,09:11,MSZCZONOWSKA/RAWSKA
1,MAZOWIECKA,saturday,12,11:24,MSZCZONOWSKA/RAWSKA
1,MAZOWIECKA,sunday,13,11:00,MSZCZONOWSKA/RAWSKA
1,MAZOWIECKA,week,1,05:12,MSZCZONOWSKA/POMOLOGICZNA
1,MAZOWIECKA,week,2,06:07,MSZCZONOWSKA/POMOLOGICZNA
1,MAZOWIECKA,week,3,07:08,MSZCZONOWSKA/POMOLOGICZNA
1,MAZOWIECKA,week,4,09:13,MSZCZONOWSKA/POMOLOGICZNA
1,MAZOWIECKA,week,5,11:26,MSZCZONOWSKA/POMOLOGICZNA
1,MAZOWIECKA,week,6,12:48,MSZCZONOWSKA/POMOLOGICZNA
1,MAZOWIECKA,week,7,13:41,MSZCZONOWSKA/POMOLOGICZNA
1,MAZOWIECKA,week,8,14:53,MSZCZONOWSKA/POMOLOGICZNA
1,MAZOWIECKA,week,9,16:28,MSZCZONOWSKA/POMOLOGICZNA
1,MAZOWIECKA,week,10,18:13,MSZCZONOWSKA/POMOLOGICZNA
1,MAZOWIECKA,saturday,11,09:13,MSZCZONOWSKA/POMOLOGICZNA
1,MAZOWIECKA,saturday,12,11:26,MSZCZONOWSKA/POMOLOGICZNA
1,MAZOWIECKA,sunday,13,11:02,MSZCZONOWSKA/POMOLOGICZNA
1,MAZOWIECKA,week,1,05:13,A. OLSZEWSKIEJ
1,MAZOWIECKA,week,2,06:09,A. OLSZEWSKIEJ
1,MAZOWIECKA,week,3,07:10,A. OLSZEWSKIEJ
1,MAZOWIECKA,week,4,09:15,A. OLSZEWSKIEJ
1,MAZOWIECKA,week,5,11:28,A. OLSZEWSKIEJ
1,MAZOWIECKA,week,6,12:50,A. OLSZEWSKIEJ
1,MAZOWIECKA,week,7,13:43,A. OLSZEWSKIEJ
1,MAZOWIECKA,week,8,14:55,A. OLSZEWSKIEJ
1,MAZOWIECKA,week,9,16:30,A. OLSZEWSKIEJ
1,MAZOWIECKA,week,10,18:15,A. OLSZEWSKIEJ
1,MAZOWIECKA,saturday,11,09:15,A. OLSZEWSKIEJ
1,MAZOWIECKA,saturday,12,11:28,A. OLSZEWSKIEJ
1,MAZOWIECKA,sunday,13,11:04,A. OLSZEWSKIEJ
1,MAZOWIECKA,week,1,05:14,REYMONTA/RYBICKIEGO
1,MAZOWIECKA,week,2,06:10,REYMONTA/RYBICKIEGO
1,MAZOWIECKA,week,3,07:11,REYMONTA/RYBICKIEGO
1,MAZOWIECKA,week,4,09:16,REYMONTA/RYBICKIEGO
1,MAZOWIECKA,week,5,11:29,REYMONTA/RYBICKIEGO
1,MAZOWIECKA,week,6,12:51,REYMONTA/RYBICKIEGO
1,MAZOWIECKA,week,7,13:44,REYMONTA/RYBICKIEGO
1,MAZOWIECKA,week,8,14:56,REYMONTA/RYBICKIEGO
1,MAZOWIECKA,week,9,16:31,REYMONTA/RYBICKIEGO
1,MAZOWIECKA,week,10,18:16,REYMONTA/RYBICKIEGO
1,MAZOWIECKA,saturday,11,09:16,REYMONTA/RYBICKIEGO
1,MAZOWIECKA,saturday,12,11:29,REYMONTA/RYBICKIEGO
1,MAZOWIECKA,sunday,13,11:05,REYMONTA/RYBICKIEGO
1,MAZOWIECKA,week,1,05:16,SIENKIEWICZA
1,MAZOWIECKA,week,2,06:12,SIENKIEWICZA
1,MAZOWIECKA,week,3,07:14,SIENKIEWICZA
1,MAZOWIECKA,week,4,09:19,SIENKIEWICZA
1,MAZOWIECKA,week,5,11:32,SIENKIEWICZA
1,MAZOWIECKA,week,6,12:54,SIENKIEWICZA
1,MAZOWIECKA,week,7,13:47,SIENKIEWICZA
1,MAZOWIECKA,week,8,14:59,SIENKIEWICZA
1,MAZOWIECKA,week,9,16:34,SIENKIEWICZA
1,MAZOWIECKA,week,10,18:19,SIENKIEWICZA
1,MAZOWIECKA,saturday,11,09:19,SIENKIEWICZA
1,MAZOWIECKA,saturday,12,11:32,SIENKIEWICZA
1,MAZOWIECKA,sunday,13,11:08,SIENKIEWICZA
1,MAZOWIECKA,week,1,05:17,DWORCOWA
1,MAZOWIECKA,week,2,06:13,DWORCOWA
1,MAZOWIECKA,week,3,07:15,DWORCOWA
1,MAZOWIECKA,week,4,09:20,DWORCOWA
1,MAZOWIECKA,week,5,11:33,DWORCOWA
1,MAZOWIECKA,week,6,12:55,DWORCOWA
1,MAZOWIECKA,week,7,13:48,DWORCOWA
1,MAZOWIECKA,week,8,15:00,DWORCOWA
1,MAZOWIECKA,week,9,16:35,DWORCOWA
1,MAZOWIECKA,week,10,18:20,DWORCOWA
1,MAZOWIECKA,saturday,11,09:20,DWORCOWA
1,MAZOWIECKA,saturday,12,11:33,DWORCOWA
1,MAZOWIECKA,sunday,13,11:09,DWORCOWA
1,MAZOWIECKA,week,1,05:18,MICKIEWICZA/SZKOLNA
1,MAZOWIECKA,week,2,06:14,MICKIEWICZA/SZKOLNA
1,MAZOWIECKA,week,3,07:16,MICKIEWICZA/SZKOLNA
1,MAZOWIECKA,week,4,09:21,MICKIEWICZA/SZKOLNA
1,MAZOWIECKA,week,5,11:34,MICKIEWICZA/SZKOLNA
1,MAZOWIECKA,week,6,12:56,MICKIEWICZA/SZKOLNA
1,MAZOWIECKA,week,7,13:49,MICKIEWICZA/SZKOLNA
1,MAZOWIECKA,week,8,15:01,MICKIEWICZA/SZKOLNA
1,MAZOWIECKA,week,9,16:36,MICKIEWICZA/SZKOLNA
1,MAZOWIECKA,week,10,18:21,MICKIEWICZA/SZKOLNA
1,MAZOWIECKA,saturday,11,09:21,MICKIEWICZA/SZKOLNA
1,MAZOWIECKA,saturday,12,11:34,MICKIEWICZA/SZKOLNA
1,MAZOWIECKA,sunday,13,11:10,MICKIEWICZA/SZKOLNA
1,MAZOWIECKA,week,1,05:19,SOBIESKIEGO/VEKA
1,MAZOWIECKA,week,2,06:15,SOBIESKIEGO/VEKA
1,MAZOWIECKA,week,3,07:17,SOBIESKIEGO/VEKA
1,MAZOWIECKA,week,4,09:22,SOBIESKIEGO/VEKA
1,MAZOWIECKA,week,5,11:35,SOBIESKIEGO/VEKA
1,MAZOWIECKA,week,6,12:57,SOBIESKIEGO/VEKA
1,MAZOWIECKA,week,7,13:50,SOBIESKIEGO/VEKA
1,MAZOWIECKA,week,8,15:02,SOBIESKIEGO/VEKA
1,MAZOWIECKA,week,9,16:37,SOBIESKIEGO/VEKA
1,MAZOWIECKA,week,10,18:22,SOBIESKIEGO/VEKA
1,MAZOWIECKA,saturday,11,09:22,SOBIESKIEGO/VEKA
1,MAZOWIECKA,saturday,12,11:35,SOBIESKIEGO/VEKA
1,MAZOWIECKA,sunday,13,11:11,SOBIESKIEGO/VEKA
1,MAZOWIECKA,week,1,05:20,SOBIESKIEGO/MLECZARNIA
1,MAZOWIECKA,week,2,06:16,SOBIESKIEGO/MLECZARNIA
1,MAZOWIECKA,week,3,07:18,SOBIESKIEGO/MLECZARNIA
1,MAZOWIECKA,week,4,09:23,SOBIESKIEGO/MLECZARNIA
1,MAZOWIECKA,week,5,11:36,SOBIESKIEGO/MLECZARNIA
1,MAZOWIECKA,week,6,12:58,SOBIESKIEGO/MLECZARNIA
1,MAZOWIECKA,week,7,13:51,SOBIESKIEGO/MLECZARNIA
1,MAZOWIECKA,week,8,15:03,SOBIESKIEGO/MLECZARNIA
1,MAZOWIECKA,week,9,16:38,SOBIESKIEGO/MLECZARNIA
1,MAZOWIECKA,week,10,18:23,SOBIESKIEGO/MLECZARNIA
1,MAZOWIECKA,saturday,11,09:23,SOBIESKIEGO/MLECZARNIA
1,MAZOWIECKA,saturday,12,11:36,SOBIESKIEGO/MLECZARNIA
1,MAZOWIECKA,sunday,13,11:12,SOBIESKIEGO/MLECZARNIA
1,MAZOWIECKA,week,1,05:22,SOBIESKIEGO/PĘTLA
1,MAZOWIECKA,week,2,06:18,SOBIESKIEGO/PĘTLA
1,MAZOWIECKA,week,3,07:20,SOBIESKIEGO/PĘTLA
1,MAZOWIECKA,week,4,09:25,SOBIESKIEGO/PĘTLA
1,MAZOWIECKA,week,5,11:38,SOBIESKIEGO/PĘTLA
1,MAZOWIECKA,week,6,13:00,SOBIESKIEGO/PĘTLA
1,MAZOWIECKA,week,7,13:53,SOBIESKIEGO/PĘTLA
1,MAZOWIECKA,week,8,15:05,SOBIESKIEGO/PĘTLA
1,MAZOWIECKA,week,9,16:40,SOBIESKIEGO/PĘTLA
1,MAZOWIECKA,week,10,18:25,SOBIESKIEGO/PĘTLA
1,MAZOWIECKA,saturday,11,09:25,SOBIESKIEGO/PĘTLA
1,MAZOWIECKA,saturday,12,11:38,SOBIESKIEGO/PĘTLA
1,MAZOWIECKA,sunday,13,11:14,SOBIESKIEGO/PĘTLA
1,MAZOWIECKA,week,1,05:23,UNII EUROPEJSKIEJ/SOBIESKIEGO
1,MAZOWIECKA,week,2,06:19,UNII EUROPEJSKIEJ/SOBIESKIEGO
1,MAZOWIECKA,week,3,07:21,UNII EUROPEJSKIEJ/SOBIESKIEGO
1,MAZOWIECKA,week,4,09:26,UNII EUROPEJSKIEJ/SOBIESKIEGO
1,MAZOWIECKA,week,5,11:39,UNII EUROPEJSKIEJ/SOBIESKIEGO
1,MAZOWIECKA,week,6,13:01,UNII EUROPEJSKIEJ/SOBIESKIEGO
1,MAZOWIECKA,week,7,13:54,UNII EUROPEJSKIEJ/SOBIESKIEGO
1,MAZOWIECKA,week,8,15:06,UNII EUROPEJSKIEJ/SOBIESKIEGO
1,MAZOWIECKA,week,9,16:41,UNII EUROPEJSKIEJ/SOBIESKIEGO
1,MAZOWIECKA,week,10,18:26,UNII EUROPEJSKIEJ/SOBIESKIEGO
1,MAZOWIECKA,saturday,11,09:26,UNII EUROPEJSKIEJ/SOBIESKIEGO
1,MAZOWIECKA,saturday,12,11:39,UNII EUROPEJSKIEJ/SOBIESKIEGO
1,MAZOWIECKA,sunday,13,11:15,UNII EUROPEJSKIEJ/SOBIESKIEGO
1,MAZOWIECKA,week,1,05:24,UNII EUROPEJSKIEJ/LOGIST.
1,MAZOWIECKA,week,2,06:20,UNII EUROPEJSKIEJ/LOGIST.
1,MAZOWIECKA,week,3,07:22,UNII EUROPEJSKIEJ/LOGIST.
1,MAZOWIECKA,week,4,09:27,UNII EUROPEJSKIEJ/LOGIST.
1,MAZOWIECKA,week,5,11:40,UNII EUROPEJSKIEJ/LOGIST.
1,MAZOWIECKA,week,6,13:02,UNII EUROPEJSKIEJ/LOGIST.
1,MAZOWIECKA,week,7,13:55,UNII EUROPEJSKIEJ/LOGIST.
1,MAZOWIECKA,week,8,15:07,UNII EUROPEJSKIEJ/LOGIST.
1,MAZOWIECKA,week,9,16:42,UNII EUROPEJSKIEJ/LOGIST.
1,MAZOWIECKA,week,10,18:27,UNII EUROPEJSKIEJ/LOGIST.
1,MAZOWIECKA,saturday,11,09:27,UNII EUROPEJSKIEJ/LOGIST.
1,MAZOWIECKA,saturday,12,11:40,UNII EUROPEJSKIEJ/LOGIST.
1,MAZOWIECKA,sunday,13,11:16,UNII EUROPEJSKIEJ/LOGIST.
1,MAZOWIECKA,week,4,09:28,UNII EUROPEJSKIEJ/MIEDNIEWICKA
1,MAZOWIECKA,week,5,11:41,UNII EUROPEJSKIEJ/MIEDNIEWICKA
1,MAZOWIECKA,week,6,13:03,UNII EUROPEJSKIEJ/MIEDNIEWICKA
1,MAZOWIECKA,week,7,13:56,UNII EUROPEJSKIEJ/MIEDNIEWICKA
1,MAZOWIECKA,week,8,15:08,UNII EUROPEJSKIEJ/MIEDNIEWICKA
1,MAZOWIECKA,week,9,16:43,UNII EUROPEJSKIEJ/MIEDNIEWICKA
1,MAZOWIECKA,week,10,18:28,UNII EUROPEJSKIEJ/MIEDNIEWICKA
1,MAZOWIECKA,saturday,11,09:28,UNII EUROPEJSKIEJ/MIEDNIEWICKA
1,MAZOWIECKA,saturday,12,11:41,UNII EUROPEJSKIEJ/MIEDNIEWICKA
1,MAZOWIECKA,sunday,13,11:17,UNII EUROPEJSKIEJ/MIEDNIEWICKA
1,MAZOWIECKA,week,4,09:29,MIEDNIEWICKA/MAZOWIECKA
1,MAZOWIECKA,week,5,11:42,MIEDNIEWICKA/MAZOWIECKA
1,MAZOWIECKA,week,6,13:04,MIEDNIEWICKA/MAZOWIECKA
1,MAZOWIECKA,week,7,13:57,MIEDNIEWICKA/MAZOWIECKA
1,MAZOWIECKA,week,8,15:09,MIEDNIEWICKA/MAZOWIECKA
1,MAZOWIECKA,week,9,16:44,MIEDNIEWICKA/MAZOWIECKA
1,MAZOWIECKA,week,10,18:29,MIEDNIEWICKA/MAZOWIECKA
1,MAZOWIECKA,saturday,11,09:29,MIEDNIEWICKA/MAZOWIECKA
1,MAZOWIECKA,saturday,12,11:42,MIEDNIEWICKA/MAZOWIECKA
1,MAZOWIECKA,sunday,13,11:18,MIEDNIEWICKA/MAZOWIECKA
1,MAZOWIECKA,week,4,09:30,MAZOWIECKA/PARTYZANTÓW
1,MAZOWIECKA,week,5,11:43,MAZOWIECKA/PARTYZANTÓW
1,MAZOWIECKA,week,6,13:05,MAZOWIECKA/PARTYZANTÓW
1,MAZOWIECKA,week,7,13:58,MAZOWIECKA/PARTYZANTÓW
1,MAZOWIECKA,week,8,15:10,MAZOWIECKA/PARTYZANTÓW
1,MAZOWIECKA,week,9,16:45,MAZOWIECKA/PARTYZANTÓW
1,MAZOWIECKA,week,10,18:30,MAZOWIECKA/PARTYZANTÓW
1,MAZOWIECKA,saturday,11,09:30,MAZOWIECKA/PARTYZANTÓW
1,MAZOWIECKA,saturday,12,11:43,MAZOWIECKA/PARTYZANTÓW
1,MAZOWIECKA,sunday,13,11:19,MAZOWIECKA/PARTYZANTÓW
